categoria_negocio,latitud,longitud
ABULONES CULTIVADOS,31.8621572,-116.6267073
AGRICOLA DOS MARES,31.06657818,-116.2098943
AGROMARISMA,31.86168362,-116.6113703
AGROPROTECCION Y NUTRICION VEGETAL  ,31.84588663,-116.6083698
ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP,31.84754081,-116.5897045
ALMACEN,31.8578433,-116.6076119
ALMACEN BAJA PK,31.72472363,-116.5795718
APINCANTU,31.70491454,-116.642323
ASOCIACION ARVI,31.87331166,-116.5836237
ATUNERA PACIFICO NORTE,31.8848756,-116.6863562
BAJA AQUA FARMS,31.89404935,-116.7058409
BAJA BIOTICS,31.84588663,-116.6083698
BAJA ORGANIC,31.72462297,-116.5772848
BAJA PK,31.72484994,-116.5795982
BAJA REEF AQUACULTURE,31.88732238,-116.5951821
BUZOS Y PESCADORES DE PLAYA SAN RAMON,31.32271569,-116.2493151
BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU,31.70434,-116.64076
CORPORACION DE ATUNEROS DE ENSENADA SA DE CV,31.86538936,-116.6593639
CULTIVADORES DEL PACIFICO,31.83573668,-116.6044305
CYLO ZAMORA,31.87668888,-116.6271403
DENEBOLA,31.87365896,-116.6249121
EMPACADORA SAN MIGUEL,31.9041686,-116.710097
EMPACADORA SAN MIGUEL,31.77398011,-116.5861883
EMPAQUE DE ATUN,31.89204414,-116.6918137
EMPAQUE DE LEGUMINOSAS,31.69783524,-116.5501278
ERICEROS DE LA COSTA DEL PACIFICO,31.83642759,-116.60465
ERIPAC,31.3621,-116.471
G. NATURAL DE MEXICO,31.27315528,-116.371826
GRINGO SOUTH,32.03044722,-116.6720089
GRUPO DE PESCADORES RIBEREÑOS SPR DE RL,31.8634666,-116.6110708
GRUPO MARITIMO PROVEMAR,31.86180627,-116.6295182
HERMANOS VIERA PROCESADORA DE PRODUCTOS DEL MAR,31.85840666,-116.5721076
INOCENCIO  VILLAVICENCIO ALVARADO,31.85834194,-116.6146335
INTEGRADORA COMERCIAL AMS,31.86373086,-116.6189921
JOSÉ ALFREDO QUEZADA ROMERO,31.87273868,-116.5714043
JOSÉ LEOBARDO MARTINEZ VIDAURRAZAGA,31.8886468,-116.6243454
JUNTA LOCAL DE SANIDAD VEGETAL,31.82182669,-116.5988523
KING FISHER,31.87259255,-116.6231946
LINAMAR,31.83244727,-116.5968806
LIVE BAIT,31.89874242,-116.6994384
MANUEL  MANCILLA ALCOCER,31.84487314,-116.594014
MAR DE LA CORINA,31.8661121,-116.6136291
MARIA DEL CONSUELO FRANCISCA FLORES LOZANO,31.8744889,-116.6378375
MARISCOS DE SAN FELIPE,31.90507472,-116.6981594
MARTIN  ZAMBRANO LOMELI,31.88708538,-116.6866785
NISHIKAWA Y ASOCIADOS,31.86053702,-116.6361138
OCEANO DE EROMAR,31.78787121,-116.5632445
ORNAMENTAL LIFE,31.89707202,-116.7079002
OTRA ACUICULTURA SIN NOMBRE,31.86012799,-116.5885083
OTRA ACUICULTURA SIN NOMBRE,31.77255677,-116.5666224
OTRA ACUICULTURA SIN NOMBRE,31.62345024,-116.4393923
OTROS SERVICIOS RELACIONADOS CON LA AGRICULTURA,31.90288196,-116.2805506
PARTNERS VENEZIA,31.8646597,-116.6310384
PECES DE BAJA,31.88452306,-116.6861253
PESCA AZUL,31.87118305,-116.6281717
PESCA CHIAPAS,31.85822503,-116.6034446
"PESCA DE CRUSTÁCEOS, MOLUSCOS Y OTROS PECES SIN NOMBRE",31.83342955,-116.6031102
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.27742596,-116.3748714
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.71516238,-116.6682211
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.7255,-116.679
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.83233525,-116.6012007
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.72982986,-116.5769308
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.82591713,-116.6060061
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.08318153,-116.2021058
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",28.09685565,-115.1892092
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.88953871,-116.6924589
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.84963537,-116.5932902
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.89021551,-116.5916253
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85929076,-116.5959938
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85404491,-116.5765049
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.7245264,-116.6780103
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85642144,-116.5653774
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.87537182,-116.6368956
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.86372245,-116.6188077
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.86842892,-116.6009641
"PESCA Y CAPTURA DE OTROS PECES, CRUSTACEOS, MOLUSCOS Y OTRAS ESPECIES",31.86274729,-116.6136986
"PESCA Y CAPTURA DE OTROS PECES, CRUSTACEOS, MOLUSCOS Y OTRAS ESPECIES",31.85204467,-116.6139155
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.86779592,-116.6098192
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.86033656,-116.6312673
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.83237215,-116.5968352
"PESCA Y CAPTURA DE OTROS PECES, CRUSTACEOS, MOLUSCOS Y OTRAS ESPECIES",31.85800627,-116.5898743
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85613065,-116.5652827
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85456682,-116.6106233
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.86290755,-116.6107744
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.88344143,-116.6412035
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85642137,-116.5653773
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85304958,-116.5763085
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.85304376,-116.5763073
"PESCA Y CAPTURA DE OTROS PECES, CRUSTACEOS, MOLUSCOS Y OTRAS ESPECIES",31.8556621,-116.6181343
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.87074823,-116.6296689
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",31.8638707,-116.62034
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE",31.86109108,-116.6284591
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE",31.85740237,-116.5950855
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE",31.84785644,-116.5933289
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE",31.89072042,-116.576602
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE",31.78577653,-116.5703855
PESCADORES Y BUZOS RIBEREï¿½OS DE MANCHURIA SA DE CV,31.88953871,-116.6924589
PESQUERA 3 HERMANOS,31.83871275,-116.6059723
PESQUERA ANCHOSAR,31.87875344,-116.6223384
PESQUERA BONNYMAR,31.89294798,-116.6957485
PESQUERA GAGALU,31.86053057,-116.6091207
PESQUERA GRUPO CINCO,31.83857513,-116.6049875
PESQUERA ISLA DE LA GUARDIA,31.84647025,-116.5963224
PESQUERA NORMEX,31.86270645,-116.6282815
PESQUERA PATRON E HIJOS SA DE CV,31.86142651,-116.6302564
PESQUERA ROSAMAR,31.85834474,-116.6331815
PESQUERA SAN ANTONIO DEL MAR,31.06923034,-116.2087536
PESQUERA THOR,31.89294798,-116.6957485
PESQUERA VILLALOBOS,31.86261159,-116.6227669
PRODUCTORES MARINOS BAJA,31.27651323,-116.3762239
PRODUCTORES PESQUEROS DE BC,31.83573668,-116.6044305
PRODUCTOS DEL MAR CATALINA,31.84645226,-116.5949312
PRODUCTOS DEL MAR COSTA OESTE,31.86049651,-116.6314623
PRODUCTOS DEL PACIFICO,31.86216699,-116.6302038
PRODUCTOS FRESCAMAR,31.86399404,-116.5808036
PRODUCTOS MARINOS DE LAS CALIFORNIAS,31.89685069,-116.7070886
PUNTA COLONET SAN TELMO,31.06892973,-116.2108528
PUNTA FINAL DEL GOLFO,31.88700526,-116.618009
SCPP GALLOS,31.86049651,-116.6314623
SCPP RIB DE PUERTO CATARINA,31.85056249,-116.5757459
SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA DE PARTICIPACIÓN ESTATAL ABULONERO Y LANGOSTEROS,31.85517379,-116.6087308
SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA EMANCIPACION,31.8709323,-116.6248164
SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA PESCADORES NACIONALES DE ABULON,28.09748207,-115.185995
SPR KACHIGI,31.86049651,-116.6314623
UP BUZOS DE LA COSTA OCCIDENTAL DE BC,31.88841146,-116.6903156
UPP EJIDAL AJUSCO,31.85634986,-116.594491
UPP EL PUERTO SANTO TOMAS,31.84131782,-116.6056963
UPP EMEJA,31.72371031,-116.5704229
UPR DE LAS COSTAS DEL ESTADO DE BC,32.05664268,-116.8778469
VENTURA PACIFICO,31.87016541,-116.6243863
ZUAREV,31.87339794,-116.5833674
BC MINING CO,31.85883281,-116.6120831
CAMPESINOS MENDOZA SANCHES,32.07673911,-116.5825214
CHAPULTEPEC MINING CORPORATION,31.85969776,-116.6322365
COMEDOR DE EXPORTADORA DE SAL ISLA DE CEDROS,28.03876261,-115.1877473
GIMNASIO 01 DE MAYO,28.04154922,-115.1923322
OJOS NEGROS MINING,31.86015795,-116.6317915
PETREOS DEL PACIFICO,31.84598233,-116.6159732
RECURSOS DEL DESIERTO,31.83240678,-116.6009283
AGENCIA COMERCIAL ENSENADA,31.87583757,-116.6201051
ALMACEN ENSENADA,31.8145193,-116.5969887
CAC PALMERAS,31.81464189,-116.5960373
CARCAMO EL CIPRES,31.80974723,-116.5991571
CENTRAL TURBOGAS CIPRES,31.77583357,-116.584977
CESPE,31.7862162,-116.5919583
CESPE,32.09058403,-116.5759796
CESPE CENTRAL 2,31.86853952,-116.6136649
CESPE ISLA DE CEDROS,28.09708653,-115.1871655
CESPE MANEADERO,31.73054617,-116.5787786
COMISION ESTATAL DE SERIVICIOS PUBLICOS DE ENSENADA,31.86962908,-116.6232103
COMITÉ DE AGUA POTABLE DE OJOS NEGROS,31.91128841,-116.2702606
COMITE DE AGUA POTABLE SAN VICENTE,31.32685959,-116.2510681
DEPARTAMENTO DE MEDICION,31.87629646,-116.619387
DESALADORA KENTON,31.87727438,-116.6220603
GS INIMA MEXICO,31.81497646,-116.6020796
IBERDROLA ENERGIA DE BAJA CALIFORNIA,31.99257152,-116.8510649
MANTENIMIENTO ELECTROMECANICO,31.84861319,-116.5999591
MAQUINARIA ELECTRICA,31.86916175,-116.6167366
OFICINA AUXILIAR CESPE EDIFICIO SAVIN,31.86979929,-116.6233044
OPERACIONES Y MANTENIMIENTO,31.84861873,-116.5999428
PLANTA DE REBOMBEO DE AGUA ALTAVISTA,31.85146814,-116.6046945
PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EL NARANJO,31.80995163,-116.5788306
PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EL SAUZAL,31.88502086,-116.6859631
PLANTA DESALADORA DE ENSENADA,31.81685444,-116.5980536
PLANTA POTABILIZADORA DE AGUA,31.89046072,-116.6037862
POZO DE AGUA EJIDAL,31.72802814,-116.5783235
SUBESTACION ELECTRICA GALLO,31.85290433,-116.5922922
SUBESTACION ENSENADA,31.87942589,-116.6154001
TRATAMIENTO ECOLOGICO DE RESIDUOS,31.90523979,-116.7137626
UNIDAD DE TRANSPARECENCIA Y ARCHIVO GENERAL,31.84861141,-116.5999955
VENTA DE AGUA,31.87126348,-116.6160058
ALIABAJA CONSTRUCTORA,31.83634081,-116.6063155
ALMACEN,31.87923567,-116.6044175
ALMACEN DE CONTRATISTA,31.86150991,-116.592457
ARCCO,31.86903503,-116.625852
ARMACEL,31.77949103,-116.5877856
ARPAC INGENIERIA Y CONSTRUCCION,31.8719888,-116.6276552
ARQUITECTO VICTOR MANUEL MORINEAU CARRILLO,31.86542655,-116.6193436
BAJA CONSTRUCCIONES,31.85853809,-116.5801485
BC DRILLING,31.86338536,-116.5840854
BOSCO CABRERA CONSTRUCTORA,31.88180296,-116.6187458
BRODSA CONTRUCCIONES,31.85356,-116.5744108
BUSAN TOPOGRAFIA Y CONSTRUCCION,31.86343075,-116.5837724
CARPINTERIA EL TRIUNFO,31.79228056,-116.5806443
