codigo_act,descripcion,categoria_negocio
115111,Actividad no identificada,otro
112519,Actividad no identificada,otro
112514,Actividad no identificada,otro
115113,Actividad no identificada,otro
114119,Actividad no identificada,otro
115112,Actividad no identificada,otro
115119,Actividad no identificada,otro
114113,Actividad no identificada,otro
112516,Actividad no identificada,otro
114111,Actividad no identificada,otro
114112,Actividad no identificada,otro
115210,Actividad no identificada,otro
112515,Actividad no identificada,otro
112513,Actividad no identificada,otro
212321,Actividad no identificada,otro
212232,Actividad no identificada,otro
212311,Actividad no identificada,otro
212210,Actividad no identificada,otro
212391,Actividad no identificada,otro
212110,Actividad no identificada,otro
212221,Actividad no identificada,otro
212319,Actividad no identificada,otro
213119,Actividad no identificada,otro
221122,Actividad no identificada,otro
221311,Actividad no identificada,otro
221312,Actividad no identificada,otro
221123,Actividad no identificada,otro
221111,Actividad no identificada,otro
221121,Actividad no identificada,otro
221114,Actividad no identificada,otro
221210,Actividad no identificada,otro
236211,Actividad no identificada,otro
236112,Actividad no identificada,otro
238210,Actividad no identificada,otro
238130,Actividad no identificada,otro
236111,Actividad no identificada,otro
236221,Actividad no identificada,otro
236222,Actividad no identificada,otro
236113,Actividad no identificada,otro
238222,Actividad no identificada,otro
238311,Actividad no identificada,otro
238990,Actividad no identificada,otro
237111,Actividad no identificada,otro
237212,Actividad no identificada,otro
238910,Actividad no identificada,otro
238122,Actividad no identificada,otro
237312,Actividad no identificada,otro
237311,Actividad no identificada,otro
238190,Actividad no identificada,otro
237211,Actividad no identificada,otro
238390,Actividad no identificada,otro
238121,Actividad no identificada,otro
238350,Actividad no identificada,otro
237121,Actividad no identificada,otro
237992,Actividad no identificada,otro
237213,Actividad no identificada,otro
238110,Actividad no identificada,otro
238330,Actividad no identificada,otro
237131,Actividad no identificada,otro
237999,Actividad no identificada,otro
238221,Actividad no identificada,otro
237112,Actividad no identificada,otro
237991,Actividad no identificada,otro
238340,Actividad no identificada,otro
238290,Actividad no identificada,otro
238320,Actividad no identificada,otro
237132,Actividad no identificada,otro
236212,Actividad no identificada,otro
237133,Actividad no identificada,otro
311811,Actividad no identificada,otro
311812,Actividad no identificada,otro
315229,Actividad no identificada,otro
311422,Actividad no identificada,otro
311830,Actividad no identificada,otro
312112,Actividad no identificada,otro
315223,Actividad no identificada,otro
311999,Actividad no identificada,otro
315225,Actividad no identificada,otro
312113,Actividad no identificada,otro
312131,Actividad no identificada,otro
311710,Actividad no identificada,otro
311110,Actividad no identificada,otro
312120,Actividad no identificada,otro
312111,Actividad no identificada,otro
311924,Actividad no identificada,otro
311613,Actividad no identificada,otro
311212,Actividad no identificada,otro
311511,Actividad no identificada,otro
314991,Actividad no identificada,otro
311520,Actividad no identificada,otro
311222,Actividad no identificada,otro
315210,Actividad no identificada,otro
314120,Actividad no identificada,otro
314992,Actividad no identificada,otro
311412,Actividad no identificada,otro
311813,Actividad no identificada,otro
316999,Actividad no identificada,otro
315999,Actividad no identificada,otro
314110,Actividad no identificada,otro
315991,Actividad no identificada,otro
311910,Actividad no identificada,otro
313220,Actividad no identificada,otro
311350,Actividad no identificada,otro
315123,Actividad no identificada,otro
311340,Actividad no identificada,otro
311213,Actividad no identificada,otro
313310,Actividad no identificada,otro
311923,Actividad no identificada,otro
311922,Actividad no identificada,otro
316991,Actividad no identificada,otro
311411,Actividad no identificada,otro
311612,Actividad no identificada,otro
315224,Actividad no identificada,otro
311423,Actividad no identificada,otro
314912,Actividad no identificada,otro
313113,Actividad no identificada,otro
311513,Actividad no identificada,otro
314999,Actividad no identificada,otro
315221,Actividad no identificada,otro
311820,Actividad no identificada,otro
316110,Actividad no identificada,otro
316211,Actividad no identificada,otro
311993,Actividad no identificada,otro
311940,Actividad no identificada,otro
313111,Actividad no identificada,otro
312222,Actividad no identificada,otro
315222,Actividad no identificada,otro
311930,Actividad no identificada,otro
313210,Actividad no identificada,otro
311421,Actividad no identificada,otro
311230,Actividad no identificada,otro
313320,Actividad no identificada,otro
311614,Actividad no identificada,otro
316213,Actividad no identificada,otro
311215,Actividad no identificada,otro
311611,Actividad no identificada,otro
312144,Actividad no identificada,otro
312221,Actividad no identificada,otro
312149,Actividad no identificada,otro
323119,Actividad no identificada,otro
322299,Actividad no identificada,otro
327991,Actividad no identificada,otro
326199,Actividad no identificada,otro
327121,Actividad no identificada,otro
326193,Actividad no identificada,otro
324120,Actividad no identificada,otro
325310,Actividad no identificada,otro
327420,Actividad no identificada,otro
327399,Actividad no identificada,otro
325610,Actividad no identificada,otro
327111,Actividad no identificada,otro
325999,Actividad no identificada,otro
321992,Actividad no identificada,otro
322210,Actividad no identificada,otro
321920,Actividad no identificada,otro
321910,Actividad no identificada,otro
326192,Actividad no identificada,otro
326194,Actividad no identificada,otro
326140,Actividad no identificada,otro
327219,Actividad no identificada,otro
321991,Actividad no identificada,otro
327215,Actividad no identificada,otro
325412,Actividad no identificada,otro
327910,Actividad no identificada,otro
321999,Actividad no identificada,otro
322132,Actividad no identificada,otro
325130,Actividad no identificada,otro
325180,Actividad no identificada,otro
327214,Actividad no identificada,otro
327122,Actividad no identificada,otro
326160,Actividad no identificada,otro
321210,Actividad no identificada,otro
322230,Actividad no identificada,otro
325211,Actividad no identificada,otro
327330,Actividad no identificada,otro
327999,Actividad no identificada,otro
325993,Actividad no identificada,otro
326110,Actividad no identificada,otro
326198,Actividad no identificada,otro
327320,Actividad no identificada,otro
326212,Actividad no identificada,otro
326191,Actividad no identificada,otro
327211,Actividad no identificada,otro
326150,Actividad no identificada,otro
321993,Actividad no identificada,otro
321112,Actividad no identificada,otro
323120,Actividad no identificada,otro
327310,Actividad no identificada,otro
325520,Actividad no identificada,otro
327391,Actividad no identificada,otro
324191,Actividad no identificada,otro
326130,Actividad no identificada,otro
322291,Actividad no identificada,otro
325120,Actividad no identificada,otro
326120,Actividad no identificada,otro
325190,Actividad no identificada,otro
322220,Actividad no identificada,otro
327213,Actividad no identificada,otro
322122,Actividad no identificada,otro
325992,Actividad no identificada,otro
326220,Actividad no identificada,otro
325910,Actividad no identificada,otro
325320,Actividad no identificada,otro
322131,Actividad no identificada,otro
326290,Actividad no identificada,otro
325212,Actividad no identificada,otro
325510,Actividad no identificada,otro
323111,Actividad no identificada,otro
325620,Actividad no identificada,otro
321111,Actividad no identificada,otro
322110,Actividad no identificada,otro
325220,Actividad no identificada,otro
327112,Actividad no identificada,otro
322121,Actividad no identificada,otro
327212,Actividad no identificada,otro
325110,Actividad no identificada,otro
327123,Actividad no identificada,otro
321113,Actividad no identificada,otro
327410,Actividad no identificada,otro
339913,Actividad no identificada,otro
332320,Actividad no identificada,otro
335999,Actividad no identificada,otro
332710,Actividad no identificada,otro
337110,Actividad no identificada,otro
337120,Actividad no identificada,otro
332810,Actividad no identificada,otro
332999,Actividad no identificada,otro
339999,Actividad no identificada,otro
331210,Actividad no identificada,otro
331112,Actividad no identificada,otro
331220,Actividad no identificada,otro
339112,Actividad no identificada,otro
331520,Actividad no identificada,otro
334310,Actividad no identificada,otro
339111,Actividad no identificada,otro
339920,Actividad no identificada,otro
336410,Actividad no identificada,otro
336360,Actividad no identificada,otro
337210,Actividad no identificada,otro
333411,Actividad no identificada,otro
333249,Actividad no identificada,otro
335220,Actividad no identificada,otro
333999,Actividad no identificada,otro
332510,Actividad no identificada,otro
334410,Actividad no identificada,otro
331490,Actividad no identificada,otro
332310,Actividad no identificada,otro
339950,Actividad no identificada,otro
335210,Actividad no identificada,otro
337920,Actividad no identificada,otro
335132,Actividad no identificada,otro
331310,Actividad no identificada,otro
336210,Actividad no identificada,otro
336320,Actividad no identificada,otro
334220,Actividad no identificada,otro
332110,Actividad no identificada,otro
336510,Actividad no identificada,otro
335910,Actividad no identificada,otro
332720,Actividad no identificada,otro
336370,Actividad no identificada,otro
333319,Actividad no identificada,otro
336610,Actividad no identificada,otro
339991,Actividad no identificada,otro
334290,Actividad no identificada,otro
339912,Actividad no identificada,otro
332910,Actividad no identificada,otro
339930,Actividad no identificada,otro
339113,Actividad no identificada,otro
336992,Actividad no identificada,otro
333610,Actividad no identificada,otro
336390,Actividad no identificada,otro
335930,Actividad no identificada,otro
334519,Actividad no identificada,otro
339940,Actividad no identificada,otro
332610,Actividad no identificada,otro
