establecimiento_id,tipo_contacto,valor
8838283,email,JUANITA.ROMAN@ABULONES.MX
8838283,website,WWW.ABULONESCULTIVADOS.COM
6166487,email,NORITA95@LIVE.COM
8346295,telefono,6462109444.0
8346295,email,RHUMANOS@2MARES.COM.MX
9323240,email,NMARTINEZ@ALM.COM.MX
6166344,email,WWW.AGROMARISMA@HOTMAIL.COM
6166273,email,CONTABILIDAD@ALGASFACIFIC.COM
10399786,email,CONTAB@ABCOTTON.COM.MX
8130649,email,MLOZANO@BAJAPK.COM.MX
6166311,telefono,6161076019.0
8345681,telefono,6462119297.0
8345681,email,APINCANTU@HOTMAIL.COM
8901346,telefono,6462101629.0
8901346,email,BISMARKDELSUR@HOTMAIL.COM
9045957,email,CPMIGUELMEZA@HOTMAIL.COM
9401810,email,ANDRES.GUTIERREZ@BAJAAQUAFARMS.MX
9401810,website,BAJAAQUAFARMS.COM
7633673,email,TYTT@PRODIGY.NET.MX
6726612,email,MLOZANO@BAJAPK.COM.MX
6752874,telefono,6461507816.0
6752874,email,BAJAREFF@GMAIL.COM
6166503,telefono,6161070125.0
6166503,email,ADRIANBAHA.811011@GMAIL.COM
8901366,telefono,6161117006.0
6166471,email,BUZOSYPESCADORESESTEBANCANTU@HOTMAIL.COM
11126552,telefono,6646260430.0
11126552,email,CONTACTO@CAINDUSTRIAL-WEB.COM
11126552,website,WWW.CA-INDUSTRIAL.COM
10660943,telefono,6865704617.0
10313174,telefono,6865645151.0
10757021,email,BAJAFISHTECATE@GMAIL.COM
9045986,email,CORP.ATUNEROSDEENSENADA@HOTMAIL.COM
6166434,telefono,6461136184.0
6166434,website,CULTIVADORESQMSN.COM
9338118,email,CYLOZAMORA@GRUPOCYLO.MX
9338118,website,WWW.GRUPOCYLO.MX
6166287,email,DENEBOLASA@YAHOO.COM.MX
6283195,email,JSANTANA@ABCOTTON.COM.MX
6166490,email,DESIERTOMATOMI@HOTMAIL.COM
128060,email,DAVIDSALAZAR232519@GMAIL.COM
9306801,email,CPMIGUELMEZA@HOTMAIL.COM
8789503,email,CPMIGUELMEZA@HOTMAIL.COM
6166461,telefono,6461162215.0
6166464,email,ERIPAC@YAHOO.COM
10627679,telefono,6657991936.0
10553649,telefono,6641790480.0
9435972,email,RAUL.ARANDA@GROWERS.COM.MX
9435972,website,HTTP:WWW.GNPRODUCTORES.NETCONTACTO
9223515,email,GHERNANDEZ@TACNA.NET
8789612,telefono,6461995529.0
8838347,telefono,6643689702.0
8838347,email,GMPROVEMAR@GMAIL.COM
8251137,telefono,6161184984.0
10668992,telefono,6462016001.0
123184,telefono,6642044609.0
123184,email,EDPREG@YAHOO.COM
10445441,website,IEHINC.COM
6166454,telefono,6461619668.0
6166454,email,LUIS_CASTAVA@HOTMAIL.COM
9045843,telefono,6462182074.0
6166452,email,MCORI@PRODIGY.NET.MX
6166268,email,SRA.CONSUELO.FRANCISCA@GMAIL.COM
9223506,telefono,6161057659.0
6739928,telefono,6461511389.0
6739928,email,LETTY_VLZA@HOTMAIL.COM
8853688,telefono,6469476045.0
6740777,telefono,6461901520.0
6740777,email,ORNAMENTALLIFE@GMAIL.COM
6166411,telefono,6161359176.0
6166411,email,BRISAMARINA94@HOTMAIL.COM
7863371,telefono,6461207722.0
7863371,email,BAJAORNAMENTALS@DOL.COM.MX
9045932,telefono,6461613903.0
8704365,telefono,6462716696.0
100528,telefono,6461134055.0
9046042,email,PROCEAN@PRODIGY.NET.MX
6166272,email,MAXIMO.GUTIERREZ@PROCESA.MX
9223512,telefono,6161118718.0
9223507,telefono,6161074206.0
8011851,email,TIBURONS_PANGAS1@HOTMAIL.COM
9046109,telefono,6461617161.0
9046154,telefono,6461502624.0
6166317,telefono,6461306435.0
6166317,email,PPA890929@HOTMAIL.COM
6166380,telefono,6161181893.0
8983348,telefono,6161190392.0
7863322,telefono,6199206665.0
7863331,telefono,6461278844.0
8011829,telefono,6461612971.0
8011829,email,A.MEZABC@GMAIL.COM
9045977,telefono,6462146351.0
9045965,email,MARCOCASTRO79@HOTMAIL.COM
6166391,telefono,6469470927.0
8161698,telefono,6161241026.0
9223508,telefono,6161110846.0
6166319,telefono,6461513206.0
6166378,telefono,6461483249.0
9045849,telefono,6161070158.0
9045849,email,ALBERTO_CARDENAS_RANCH@HOTMAIL.COM
9419139,telefono,6865437054.0
9430471,telefono,6161125101.0
8704368,telefono,6161184409.0
9045928,telefono,6461716407.0
9046126,email,ELDAQUIROZ62@HOTMAIL.COM
6166352,telefono,6461972179.0
6166352,email,JUANITOELMARINO2785@GMAIL.COM
9046142,telefono,6461715933.0
9046142,email,AGROMARISMA@HOTMAIL.COM
6166511,telefono,6461614028.0
6166511,email,BRENDA.RUIZ1786@GMAIL.COM
6166369,telefono,6461721552.0
6166351,telefono,6461634335.0
6166351,email,ALFREDOCORTEZ13@HOTMAIL.COM
6166469,telefono,6461877074.0
6166299,telefono,6461851340.0
6166299,email,DLOROS@YAHOO.COM.MX
6166401,telefono,6161297079.0
7863380,telefono,6461319068.0
9045924,telefono,6461167736.0
9045968,telefono,6461910859.0
6166338,telefono,6461174565.0
6166338,email,PESCADORES_MANCHURIA@HOTMAIL.COM
9045989,telefono,6461173086.0
9045989,email,PESQUERA3H@YAHOO.COM.MX
6166254,email,ANCHOSAR@LIVE.COM.MX
6166282,telefono,6861494741.0
6166265,email,PESQUERA.BONNYMAR@GMAIL.COM
6166476,email,GRUPOCINCOSPR@GMAIL.COM
6800280,telefono,6469473866.0
6800280,email,ISLAGUARDIA@GMAIL.COM
9276519,telefono,6461170836.0
6166269,email,P.NORMEX@HOTMAIL.COM
6166303,email,PESQUERAPATRON@GMAIL.COM
6166271,email,PESQUERA.ROSAMAR@HOTMAIL.COM
6166409,email,PESQUERA_SANANTONIO@HOTMAIL.COM
6166446,email,PESQUERA@THOR-MEXICO.COM
6166481,telefono,6161351450.0
6166462,email,PRODUCTORES_PESQUEROS@HOTMAIL.COM
6166502,email,PRODUCTOSDELMARCATALINA@LIVE.COM
6166270,email,LEON_VERULO1@HOTMAIL.COM
7863305,telefono,6461715530.0
7863305,email,ABULONES@YAHOO.COM
9290980,telefono,6121523661.0
9290980,email,EMMANUEL@BLUEEVOLUCTION.COM
8346446,email,PESTCONTROL.MXL@GMAIL.COM
8346446,website,WWW.PROTTECTO.COM
6501219,email,JDEJSAUCEDO@GMAIL.COM
9276518,telefono,6461519135.0
9276518,email,PUNTAFINALDELGOLFO@HOTMAIL.COM
9276518,website,WWW.CONTURMEXICANA.COM
7888968,telefono,6461517107.0
7888968,email,URIAS_LUIS@HOTMAIL.COM
8723524,telefono,6461030825.0
10426804,telefono,6863903087.0
10426804,email,SERVIPLAGASMEXICALI@GMAIL.COM
10705030,telefono,6861988988.0
10705030,email,LASISLASDELGOLFO@HOTMAIL.COM
6166405,telefono,6161094725.0
6166359,email,CONTABULON@GMAIL.COM
6166340,email,FACTURASEMANCIPACION@HOTMAIL.COM
6166313,email,SCTPPENSENADA@HOTMAIL.COM
6166302,email,CONSEJO_ADMON@CEDMEX.COM.MX
6166302,website,WWW.CEDMEX.COM
6166336,telefono,6861720221.0
8835832,telefono,6531127127.0
8835832,email,MOTAOVIEDO@HOTMAIL.COM
8465043,telefono,6863511766.0
8465043,email,ELMAYORCUCAPAH@OUTLOOK.ES
8789537,email,MARISCOJIMENEZ@HOTMAIL.COM
9223509,telefono,6161019104.0
6166397,telefono,6863884671.0
9330558,telefono,6861712263.0
9330558,email,HIRAMCVCTEM_@HOTMAIL.COM
8723456,telefono,6641236972.0
8893338,telefono,6461374314.0
6166513,email,DANIEL.L.TESTA@HOTMAIL.COM
8320322,email,MOD21@PRODIGY.NET.MX
9880375,telefono,6161594566.0
10346631,telefono,6161057779.0
9902430,telefono,6161354790.0
9045925,telefono,6461518394.0
9045925,email,ARNOLDOMACFARLAND@YAHOO.COM.MX
7759570,telefono,6462101629.0
7759570,email,BISMARKDELSUR@HOTMAIL.COM
6186038,email,RAYPACHECOMX@BCMINING.MX
6186060,telefono,6461197744.0
8601619,email,CHAPULTEPECMING@HOTMAIL.COM
6285376,email,GABRIEL.MARTINEZ@ESSA.COM.MX
6285376,website,WWW.GOB.MX/ESSA
6716579,telefono,6658515283.0
6186034,email,ANGHY12000@YAHOO.COM.MX
6186049,telefono,6862214882.0
6186049,email,BANCOCUERVITOS@HOTMAIL.COM
6186048,email,JANO_0305@HOTMAIL.COM
6186056,email,EJIDOHERIBERTOJARA@HOTMAIL.COM
6283154,email,DIANA.PADRON@EEOSAND.COM
6231004,email,GABRIEL.MARTINEZ@ESSA.COM.MX
6231004,website,WWW.GOB.MX/ESSA
9298996,telefono,6862994832.0
6186055,telefono,6861196430.0
6186055,email,ALFONSOMV@LIVE.COM.MX
6186040,email,PIEDRADEMAR@HOTMAIL.COM
6186033,email,MCR.SECRE@YAHOO.COM
6188988,email,JDOMINGUEZE@MINERAFRISCO.COM.MX
9223688,email,R.PALACIOS@MINERAFRISCO.COM.MX
6512881,email,ROBERTOMARCOS@CEMEX.COM
6512881,website,WWW.CEMEXMEXICO.COM
9301123,email,TRABAJOENSENADA@HOTMAIL.COM
9586852,email,CARLOS@OLACCONCRETOS.COM
9586852,website,WWW.OLACCONCRETOS.COM
6186053,telefono,6644078585.0
6186053,email,GPASTEN@PATSATJ.COM
6186053,website,WWW.PATSATIJUANA.COM
6186035,email,PETREMEX@PRODIGY.NET.MX
9311574,email,PETREMEX@PRODIGY.NET.MX
6694572,email,PETREMEX@PRODIGY.NET.MX
6188987,telefono,6161016899.0
6188987,email,MOREO-P@HOTMAIL.COM.ES
8690685,telefono,6865661525.0
8690685,email,SALINASDEBC@GMAIL.COM
6186050,telefono,6865523471.0
6186050,email,JORGE.MESTAS@SUAVISAL.COM
6186050,website,WWW.SUAVISAL.COM
6186054,telefono,6862011216.0
6186054,email,SALINERA.CACHANILLA@HOTMAIL.COM
9275386,telefono,6161662017.0
9275386,email,MIGUEL@OLACONCRETOS.COM
11459594,telefono,6611140530.0
79238,telefono,6865258025.0
79238,email,FERNANDO.LIMA@CFE.GOB.MX
79238,website,WWW.CFE.MX
94348,telefono,6461942386.0
94348,email,FERNANDO.LIMA@CFE.GOB.MX
94348,website,WWW.CFE.MX
9480298,telefono,6161011702.0
9480298,email,FERNANDO.LIMA@CFE.GOB.MX
9480298,website,WWW.CFE.MX
100297,telefono,6461984646.0
100297,email,FERNANDO.LIMA@CFE.GOB.MX
100297,website,WWW.CFE.MX
9480299,telefono,6861405844.0
